edgeType,dpid1,dpid2,port1,port2,bw,rw,ratio,delay,state,favor,capacity
core,1,5,3,1,0,1005,0,2,-1,0.5,1005
core,1,6,4,1,0,1005,0,2,-1,0.5,1005
core,1,7,5,1,0,1005,0,2,-1,0.5,1005
core,1,8,6,1,0,1005,0,2,-1,0.5,1005
core,2,5,3,2,0,1005,0,2,-1,0.5,1005
core,2,6,4,2,0,1005,0,2,-1,0.5,1005
core,2,7,5,2,0,1005,0,2,-1,0.5,1005
core,2,8,6,2,0,1005,0,2,-1,0.5,1005
core,3,5,3,3,0,1005,0,2,-1,0.5,1005
core,3,6,4,3,0,1005,0,2,-1,0.5,1005
core,3,7,5,3,0,1005,0,2,-1,0.5,1005
core,3,8,6,3,0,1005,0,2,-1,0.5,1005
core,4,5,3,4,0,1005,0,2,-1,0.5,1005
core,4,6,4,4,0,1005,0,2,-1,0.5,1005
core,4,7,5,4,0,1005,0,2,-1,0.5,1005
core,4,8,6,4,0,1005,0,2,-1,0.5,1005
core,9,5,1,5,0,1005,0,2,-1,0.5,1005
core,9,6,2,5,0,1005,0,2,-1,0.5,1005
core,9,7,3,5,0,1005,0,2,-1,0.5,1005
core,9,8,4,5,0,1005,0,2,-1,0.5,1005
core,10,5,1,6,0,1005,0,2,-1,0.5,1005
core,10,6,2,6,0,1005,0,2,-1,0.5,1005
core,10,7,3,6,0,1005,0,2,-1,0.5,1005
core,10,8,4,6,0,1005,0,2,-1,0.5,1005
,,,,,,,,,,,
,,,,,,,,,,,
edgeType,dpid,ip,port1,bw,rw,ratio,delay,state,favor,capacity,
edge,1,10.0.0.1,1,0,1005,0,2,-1,0.5,1005,
edge,1,10.0.0.2,2,0,1005,0,2,-1,0.5,1005,
edge,2,10.0.0.3,1,0,1005,0,2,-1,0.5,1005,
edge,2,10.0.0.4,2,0,1005,0,2,-1,0.5,1005,
edge,3,10.0.0.5,1,0,1005,0,2,-1,0.5,1005,
edge,3,10.0.0.6,2,0,1005,0,2,-1,0.5,1005,
edge,4,10.0.0.7,1,0,1005,0,2,-1,0.5,1005,
edge,4,10.0.0.8,2,0,1005,0,2,-1,0.5,1005,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
node,ip,mac,dpid,port,,,,,,,
host1,10.0.0.1,00:00:00:00:00:01,1,1,,,,,,,
host2,10.0.0.2,00:00:00:00:00:02,1,2,,,,,,,
host3,10.0.0.3,00:00:00:00:00:03,2,1,,,,,,,
host4,10.0.0.4,00:00:00:00:00:04,2,2,,,,,,,
host5,10.0.0.5,00:00:00:00:00:05,3,1,,,,,,,
host6,10.0.0.6,00:00:00:00:00:06,3,2,,,,,,,
host7,10.0.0.7,00:00:00:00:00:07,4,1,,,,,,,
host8,10.0.0.8,00:00:00:00:00:08,4,2,,,,,,,
